objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language ,rights
news_001,Newsletter243.pdf,Newsletter 243:Keith's Corner-McGill News,Keith Gibson,2024-01-05,"A image from a page of a vintage (1935-1941) McGill phone book is shown.  Present-day McGill was quiet on New Year's Eve, unlike the early days where parties abounded.",Holidays,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_002,Newsletter244.pdf,Newsletter 244:Keith's Corner-McGill News,Keith Gibson,2024-01-12,"Keith recalls the winter of 1948-49, which was the worst winter since 1886. Hay had to be airlifted in to feed the starving cattle and sheep trapped by the snow. Several vintage McGill snow images are included.",People,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_003,Newsletter245.pdf,Newsletter 245:Keith's Corner-McGill News,Keith Gibson,2024-01-19,Memories of the days when steam engines delivered freight to McGill. Steve Swanson and Dr. Roger Knighton provided several great images of vintage steam engines.,People;Railroads,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_004,Newsletter246.pdf,Newsletter 246:Keith's Corner-McGill News,Keith Gibson,2024-01-26,Keith dates some vintage photos. Present-day McGill warms up.,Main Street;WWII,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_005,Newsletter247.pdf,Newsletter 247:Keith's Corner-McGill News,Keith Gibson,2024-02-02,More photos are data,Main Street;Gas Stations,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_006,Newsletter248.pdf,Newsletter 248:Keith's Corner-McGill News,Keith Gibson,2024-02-09,"Pool Playing - not the wet kind. Pool was a popular pastime in McGill, with the Greek Pool Hall (Victory Club) housing one of the tables. The ""under 21"" kids learned to play pool at the McGill Rec Hall. Present-day McGill experiences the loss of former McGill resident Jerry Collis. Jerry, a popular High School coach, recently passed in Bakersfield, CA.","People;Gas Stations,Main Street, Pool Halls","McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_007,Newsletter249.pdf,Newsletter 249:Keith's Corner-McGill News,Keith Gibson,2024-02-16,"Wonderful memories of Steve's Pool Hall. The venue, located in Ely, was a lunch-time hangout for White Pine High School kids. The 2024  The TravelNevada.com website showcases the McGill Drug Store as one of Nevada's standout historical attractions. International visitors take interest in the drug store as well.",People;Pool Halls,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_008,Newsletter250.pdf,Newsletter 250:Keith's Corner-McGill News,Keith Gibson,2024-02-23,"History about the Brunswick Billiard Hall, which opened in January of 1927. Keith visits the White Pine Library.",Pool Halls,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_009,Newsletter251.pdf,Newsletter 251:Keith's Corner-McGill News,Keith Gibson,2024-03-01,"Keith discusses ""the tailings"", which are a byproduct of the concentrator process at the mill. Present-day McGill is contacted by Rio Tinto, the company that bought Kennecott. They are considering doing something with the tailings and some of the remaining buildings.",Kennecott,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
news_010,Newsletter252.pdf,Newsletter 252:Keith's Corner-McGill News,Keith Gibson,2024-03-08,The history of McGill's 1948 log and rope bridge. McGill Scouts crafted the bridge by hand using lots of teamwork. Modern-day McGill gets a donation made possible by a Rio Tinto grant program. The funds will be used by the drug store for advertising and scanning purposes.,Scouts,"McGill, Nevada",39.4004566,-114.7986135,Keith Gibson,,Image;StillImage,application/pdf,eng,
